FHR_denoised,UC
130.75,26.0
130.75,25.0
128.0,24.0
128.0,23.0
127.0,21.5
126.75,21.0
126.75,22.0
126.0,24.5
126.0,26.5
124.0,26.5
124.0,24.0
124.0,23.0
110.75,22.5
110.75,22.0
110.0,22.0
110.0,21.5
98.75,21.5
98.75,21.0
98.75,21.5
102.75,22.5
102.75,26.5
103.75,28.0
103.75,28.0
103.75,28.0
103.75,26.5
99.0,24.5
99.0,24.0
99.0,24.0
99.0,24.0
99.0,24.0
99.0,23.5
99.0,23.0
98.75,23.5
98.75,24.0
99.0,24.5
99.0,26.0
98.75,27.5
131.49999999999997,25.5
131.49999999999997,24.0
131.49999999999997,23.5
131.49999999999997,23.0
131.49999999999997,23.0
131.49999999999997,22.0
131.49999999999997,22.0
131.49999999999997,21.5
131.49999999999997,22.5
131.49999999999997,23.5
91.75,25.0
91.75,25.0
91.75,24.5
91.75,24.0
91.75,23.5
91.75,23.5
91.75,22.5
91.75,22.0
91.75,22.0
91.75,21.0
92.0,20.5
92.0,21.0
92.0,21.5
92.0,23.5
131.49999999999997,24.0
131.49999999999997,24.0
131.49999999999997,24.0
131.49999999999997,23.0
131.49999999999997,21.0
131.49999999999997,20.5
131.49999999999997,20.5
131.49999999999997,20.0
101.25,20.0
101.25,21.0
101.0,21.0
101.0,21.0
103.0,22.0
103.0,23.0
103.0,23.0
103.0,20.0
103.0,19.5
102.75,19.5
102.75,19.5
103.0,19.0
103.0,18.5
103.0,18.5
103.0,17.5
102.75,17.5
102.75,18.0
103.0,18.5
103.0,19.5
131.49999999999997,20.5
131.49999999999997,20.0
131.49999999999997,18.5
131.49999999999997,17.5
131.49999999999997,17.5
131.49999999999997,17.0
126.25,17.0
126.25,17.0
126.5,17.5
126.5,18.0
124.5,18.0
124.5,18.5
122.75,19.5
122.75,19.5
122.75,18.5
122.75,19.0
122.75,19.5
123.5,19.0
123.5,18.5
124.5,18.5
124.5,18.0
125.25,17.5
125.25,17.5
126.25,17.5
126.25,17.5
127.0,18.0
128.5,18.5
128.5,18.0
127.75,18.5
127.75,18.0
128.25,17.5
128.25,17.5
129.0,17.0
129.0,17.0
127.5,17.0
127.5,16.5
126.75,16.0
126.75,15.5
125.25,15.0
125.25,15.0
123.5,15.0
123.5,15.0
121.75,15.0
121.75,16.5
123.0,17.5
123.0,18.0
125.75,18.5
125.75,18.5
131.0,17.5
131.5,17.5
131.5,17.5
132.0,17.5
132.0,17.5
130.75,17.0
130.75,16.5
131.25,16.5
131.25,15.5
130.75,15.0
130.75,15.0
129.5,15.5
129.5,15.5
129.0,16.5
129.25,17.0
129.25,17.5
129.75,17.5
129.75,17.0
130.25,16.5
131.75,16.5
131.75,16.5
132.75,16.5
132.75,16.0
132.0,16.0
132.75,15.5
132.75,15.0
133.25,15.0
133.25,15.0
131.75,15.0
131.75,15.0
132.5,15.5
132.5,15.5
132.75,15.5
133.0,15.0
133.0,15.0
130.75,15.0
130.75,15.0
130.25,15.0
130.25,15.0
129.5,15.5
129.5,15.5
131.75,16.0
131.75,15.5
130.5,15.5
130.25,15.5
130.25,15.5
129.5,16.0
129.5,16.0
129.5,16.5
129.5,17.0
129.5,17.0
129.5,18.0
129.25,17.5
129.25,17.5
129.25,17.5
129.25,17.5
129.25,18.5
129.25,19.5
129.25,19.5
129.25,20.0
129.5,20.0
0.0,20.0
0.0,20.5
0.0,21.0
0.0,20.5
0.0,20.5
0.0,20.5
0.0,21.0
0.0,21.5
0.0,21.5
0.0,21.5
0.0,21.0
0.0,21.0
0.0,21.0
0.0,20.5
0.0,20.5
0.0,20.0
0.0,20.0
0.0,20.5
0.0,20.0
0.0,20.0
0.0,19.5
0.0,19.0
0.0,19.0
0.0,20.0
0.0,20.5
0.0,19.5
0.0,19.5
0.0,19.5
0.0,19.5
0.0,19.5
0.0,19.0
0.0,19.5
0.0,19.0
0.0,19.5
0.0,19.0
0.0,19.5
138.25,19.0
138.25,19.0
138.5,18.5
138.5,18.5
138.0,18.5
138.0,18.5
137.5,19.5
136.75,19.5
136.75,20.0
136.5,20.5
136.5,19.5
136.75,19.0
136.75,19.0
137.5,18.5
137.75,18.5
137.75,18.5
