FHR_denoised,UC
78.0,25.0
78.0,28.0
81.0,28.0
81.0,35.0
81.0,35.0
84.0,35.0
84.0,35.0
84.0,29.0
85.0,29.0
85.0,28.0
85.0,28.0
83.0,35.0
83.0,35.0
83.0,48.0
82.0,48.0
82.0,55.0
83.0,55.0
83.0,47.0
83.0,47.0
81.0,33.0
81.0,33.0
81.0,27.0
79.0,27.0
79.0,30.0
79.0,30.0
79.0,42.0
79.0,42.0
79.0,51.0
80.0,51.0
80.0,45.0
80.0,45.0
78.0,32.0
78.0,32.0
78.0,26.0
78.0,26.0
72.0,28.0
72.0,28.0
72.0,38.0
71.0,38.0
71.0,48.0
71.0,48.0
74.0,49.0
74.0,49.0
74.0,40.0
74.0,40.0
74.0,30.0
74.0,30.0
74.0,26.0
70.0,26.0
70.0,30.0
70.0,30.0
77.0,35.0
77.0,35.0
77.0,31.0
78.0,31.0
78.0,25.0
78.0,25.0
72.0,24.0
72.0,24.0
72.0,27.0
72.0,27.0
69.0,29.0
69.0,29.0
69.0,27.0
66.0,27.0
66.0,27.0
66.0,27.0
66.0,29.0
73.0,29.0
73.0,34.0
73.0,34.0
77.0,34.0
77.0,34.0
77.0,30.0
84.0,30.0
84.0,27.0
89.0,27.0
89.0,24.0
89.0,24.0
88.0,24.0
88.0,24.0
88.0,30.0
88.0,30.0
88.0,41.0
90.0,41.0
90.0,46.0
90.0,46.0
91.0,37.0
91.0,37.0
91.0,27.0
92.0,27.0
92.0,23.0
96.0,23.0
96.0,24.0
96.0,24.0
99.0,34.0
99.0,34.0
101.0,43.0
101.0,43.0
100.0,38.0
100.0,38.0
100.0,27.0
98.0,27.0
98.0,24.0
94.0,24.0
94.0,26.0
94.0,26.0
97.0,31.0
97.0,31.0
99.0,31.0
99.0,31.0
99.0,28.0
97.0,28.0
97.0,25.0
95.0,25.0
95.0,26.0
95.0,26.0
101.0,29.0
101.0,29.0
107.0,36.0
107.0,36.0
111.0,38.0
111.0,38.0
114.0,32.0
114.0,32.0
119.0,27.0
119.0,27.0
121.0,26.0
121.0,26.0
123.0,29.0
123.0,29.0
123.0,29.0
123.0,29.0
122.0,26.0
122.0,26.0
120.0,24.0
120.0,24.0
119.0,25.0
119.0,25.0
120.0,27.0
120.0,27.0
120.0,25.0
120.0,25.0
122.0,25.0
122.0,25.0
123.0,29.0
123.0,29.0
127.0,33.0
127.0,33.0
127.0,29.0
127.0,29.0
127.0,24.0
129.0,24.0
129.0,22.0
130.0,22.0
130.0,21.0
131.0,21.0
131.0,22.0
128.0,22.0
128.0,28.0
128.0,28.0
128.0,37.0
127.0,37.0
126.0,36.0
126.0,36.0
125.0,26.0
125.0,26.0
120.0,21.0
120.0,21.0
113.0,20.0
113.0,20.0
113.0,20.0
111.0,20.0
111.0,24.0
112.0,24.0
112.0,29.0
111.0,29.0
111.0,27.0
108.0,27.0
108.0,22.0
108.0,22.0
108.0,20.0
108.0,20.0
105.0,20.0
105.0,20.0
102.0,21.0
102.0,21.0
103.0,24.0
103.0,24.0
111.0,26.0
111.0,26.0
114.0,24.0
114.0,24.0
114.0,21.0
115.0,21.0
115.0,21.0
119.0,21.0
119.0,23.0
120.0,23.0
122.0,28.0
122.0,28.0
124.0,27.0
124.0,27.0
122.0,24.0
122.0,24.0
118.0,22.0
118.0,22.0
120.0,23.0
120.0,23.0
123.0,23.0
123.0,23.0
125.0,22.0
125.0,22.0
127.0,22.0
127.0,22.0
129.0,27.0
129.0,27.0
130.0,34.0
130.0,34.0
132.0,33.0
132.0,33.0
132.0,27.0
132.0,27.0
132.0,22.0
133.0,22.0
133.0,21.0
132.0,21.0
132.0,23.0
132.0,23.0
133.0,29.0
133.0,29.0
130.0,32.0
130.0,32.0
129.0,28.0
129.0,28.0
129.0,23.0
129.0,23.0
130.0,20.0
130.0,20.0
129.0,20.0
129.0,20.0
129.0,21.0
129.0,21.0
129.0,26.0
