FHR_denoised,UC
128.5,15.5
128.5,15.5
128.5,15.5
127.25,15.5
127.25,16.0
126.25,16.5
126.25,16.5
125.5,16.0
125.5,15.5
126.0,15.5
126.0,15.5
126.25,15.0
126.25,14.5
125.75,14.5
125.75,14.5
125.0,15.0
125.25,15.5
125.25,15.5
125.25,15.0
121.0,15.0
121.0,15.0
119.5,14.0
119.5,14.0
119.5,13.5
119.25,13.0
119.25,13.0
118.75,13.5
118.75,13.5
121.0,12.5
121.0,12.5
122.25,12.5
122.25,13.0
125.0,13.0
125.0,12.5
125.75,12.0
125.75,12.0
126.25,12.0
126.25,12.0
126.25,12.0
126.25,12.0
126.25,12.0
126.25,12.5
126.75,12.5
126.75,12.5
127.25,12.0
128.25,12.0
128.25,12.5
128.75,13.0
128.75,13.0
128.75,13.0
126.75,13.0
127.25,13.0
127.25,13.0
128.0,13.0
128.0,12.5
127.75,12.0
127.75,12.0
128.5,12.0
128.5,12.0
130.0,12.5
130.0,13.0
129.5,12.5
129.5,12.5
130.5,12.0
130.5,12.0
131.25,12.5
131.75,12.5
131.75,12.5
131.75,12.0
131.75,12.5
133.5,12.5
133.5,12.5
133.0,12.5
133.0,12.0
132.75,12.5
132.75,13.0
132.25,13.0
132.75,13.0
132.75,12.5
132.75,12.0
132.75,12.0
134.0,12.5
134.75,12.0
134.75,12.0
134.5,12.0
134.5,12.0
135.0,12.0
135.0,12.5
134.0,13.0
134.0,12.5
135.0,12.0
135.75,12.0
135.75,12.0
135.0,12.0
134.75,12.0
134.75,12.5
134.75,12.0
134.75,12.0
135.75,12.0
135.75,12.0
135.75,12.0
135.0,12.0
135.0,12.0
134.5,12.5
134.5,12.5
134.5,13.5
134.5,13.5
135.25,13.0
135.25,13.0
134.25,13.5
132.75,14.0
132.75,15.5
135.5,14.0
135.5,13.5
133.5,13.0
133.5,13.0
133.5,13.0
133.5,13.0
134.75,12.5
134.75,12.0
135.0,12.0
135.0,12.0
135.25,11.5
136.5,11.5
136.5,11.5
136.25,11.5
136.25,11.5
134.25,11.5
134.25,11.5
138.0,11.5
138.0,11.5
135.75,11.5
135.0,11.5
132.25,12.0
132.25,12.0
131.5,12.0
131.5,12.0
135.0,12.5
135.0,12.5
135.75,12.5
135.75,12.0
135.75,12.5
135.75,12.5
135.75,12.5
134.5,13.0
134.5,13.0
133.5,13.0
133.5,13.0
133.0,13.0
133.0,13.5
135.0,13.5
133.5,14.0
133.5,13.5
132.75,13.5
132.75,13.5
132.25,14.0
132.25,14.0
130.75,14.5
130.75,14.0
130.25,13.5
130.25,13.5
130.75,13.0
130.75,13.0
130.5,12.5
131.0,12.5
131.0,12.5
130.75,12.0
130.75,12.0
130.25,11.5
130.25,11.5
130.25,11.5
130.25,11.0
130.25,11.0
129.5,11.5
129.5,11.0
130.25,11.0
130.25,11.5
131.5,12.0
131.5,13.0
129.5,12.5
129.5,12.0
130.25,12.0
130.25,12.0
130.75,12.5
130.75,12.5
131.5,12.5
129.5,13.0
129.5,13.0
129.5,12.5
130.75,12.5
130.0,12.5
130.0,12.5
127.25,13.0
127.25,13.5
123.75,14.0
123.75,14.5
125.25,14.0
125.25,13.5
127.25,13.5
127.25,13.5
128.5,13.5
128.5,13.5
129.0,13.5
129.0,13.0
130.25,13.0
130.25,13.0
131.0,12.5
131.25,12.0
131.25,12.0
132.75,13.0
132.75,13.0
134.25,13.0
134.25,13.0
135.5,13.0
138.0,13.5
138.0,14.5
138.5,15.0
138.5,15.0
140.75,15.0
135.0,15.5
135.0,16.0
140.75,16.5
140.75,16.5
140.75,16.0
140.75,15.5
139.75,15.5
138.75,16.0
138.75,16.0
138.0,16.0
138.0,16.0
138.5,15.5
138.5,15.0
138.75,14.5
134.25,14.0
134.25,14.5
137.5,15.0
137.5,15.0
133.75,15.0
133.75,15.0
133.75,14.0
133.75,14.0
131.5,13.5
131.5,13.5
132.25,13.5
132.25,13.0
132.25,13.0
132.25,13.0
132.25,12.5
132.25,12.5
132.25,12.5
132.25,12.5
132.5,13.0
132.5,13.0
133.5,13.0
133.5,13.0
135.25,13.0
135.25,13.5
136.25,14.0
136.75,14.5
136.75,14.5
135.75,14.5
135.75,14.0
134.75,14.0
134.75,14.5
133.0,14.5
133.0,15.0
133.5,15.0
132.75,15.5
132.75,15.5
135.0,15.0
136.75,14.5
136.75,14.0
136.75,14.0
130.5,14.0
130.5,13.5
131.25,13.5
130.25,13.0
130.25,13.0
128.5,13.0
128.5,13.5
129.0,14.0
129.0,13.5
129.5,13.0
129.5,13.5
130.75,13.0
132.5,13.0
132.5,13.0
133.0,13.5
133.0,13.5
133.5,13.5
133.5,13.5
133.25,14.5
134.25,14.0
134.25,14.0
135.0,14.0
135.0,16.0
135.0,16.0
135.0,15.5
135.25,15.0
135.25,15.5
135.75,15.5
135.75,15.5
135.75,15.0
136.0,15.0
136.0,15.0
136.25,15.5
136.25,15.5
137.5,16.0
135.75,16.0
135.75,16.5
134.75,17.5
134.75,17.0
134.5,16.5
134.5,16.0
135.25,16.0
135.75,16.0
135.75,16.0
137.75,16.0
137.75,15.5
138.5,15.5
138.5,15.5
138.5,15.0
139.25,14.5
139.25,14.5
139.5,14.0
139.5,14.0
139.0,14.0
138.75,14.0
138.75,14.5
138.75,15.0
138.75,14.0
138.75,14.0
138.75,13.5
139.0,13.0
138.75,13.0
138.75,13.0
142.5,13.5
142.5,13.0
143.25,12.5
143.75,12.5
143.75,12.0
143.5,12.0
143.5,11.5
144.0,11.5
145.75,12.0
145.75,12.0
145.5,11.5
146.75,11.5
146.75,11.5
148.5,11.5
148.5,11.5
148.0,11.5
148.25,11.5
148.25,12.0
148.0,12.5
149.0,12.5
149.0,12.0
149.25,12.0
149.25,12.0
148.25,12.5
146.5,13.0
146.5,13.0
145.75,13.0
145.75,13.0
145.0,12.5
142.75,13.0
142.75,13.5
142.0,14.0
142.0,14.0
141.25,13.0
141.25,13.0
140.25,13.0
139.25,13.0
139.25,13.0
137.5,12.5
137.5,12.5
134.5,12.5
134.5,13.0
130.75,13.0
130.75,13.0
131.5,12.5
132.25,12.5
132.25,12.5
133.0,13.0
133.0,13.0
134.5,13.5
134.5,14.5
133.0,14.0
133.0,13.5
134.5,13.5
135.0,13.0
135.0,13.0
135.0,13.0
135.0,13.0
136.25,13.0
136.75,13.0
136.75,14.0
137.0,14.0
137.0,13.5
138.0,13.0
137.5,13.0
137.5,13.0
139.0,13.0
139.0,13.0
139.5,14.0
139.5,14.0
140.0,13.5
140.5,14.0
140.5,14.5
140.5,14.5
140.5,15.0
140.25,15.5
140.25,16.0
142.0,16.0
141.25,16.0
141.25,16.5
144.25,16.5
144.25,16.0
137.5,16.0
137.5,16.0
136.0,16.5
136.5,16.0
136.5,15.5
137.25,15.5
137.25,15.5
136.5,15.0
136.5,15.0
136.75,14.5
135.75,14.5
135.75,14.5
136.75,16.0
136.75,16.0
136.25,15.0
136.25,15.0
133.0,15.0
133.0,15.0
132.0,15.0
132.0,15.0
132.0,15.0
132.0,15.5
132.0,15.0
131.75,15.0
131.75,15.0
132.0,15.0
132.0,15.0
124.75,15.0
124.75,15.5
124.75,14.5
125.0,15.0
125.0,15.5
125.0,15.5
125.0,15.0
125.0,14.0
125.0,14.0
125.0,14.0
124.75,14.0
124.75,14.5
0.0,14.5
0.0,14.0
0.0,14.0
0.0,14.0
128.75,14.0
128.75,14.0
129.0,14.0
129.0,14.0
128.25,14.0
128.25,13.5
129.0,13.5
129.0,13.0
128.5,13.0
128.5,13.0
129.0,13.0
129.0,12.5
129.0,12.5
129.0,12.5
129.0,12.5
129.0,13.0
129.0,12.5
129.0,12.0
130.25,12.0
130.25,12.0
130.0,12.0
130.0,12.0
130.25,12.0
130.25,12.0
130.5,12.0
130.5,11.5
131.75,11.5
131.75,11.5
133.0,11.5
133.0,11.5
133.75,11.5
133.75,11.5
133.75,11.5
134.25,11.5
134.25,11.5
135.0,11.5
135.0,11.5
135.0,11.5
135.0,11.5
135.0,11.5
135.0,12.0
135.25,12.0
135.75,12.0
135.75,11.5
136.0,11.5
136.0,11.5
135.25,11.5
135.25,11.5
135.0,11.5
134.75,11.0
134.75,11.0
133.5,11.5
133.5,11.5
132.0,11.5
132.0,11.5
132.0,11.5
132.0,11.5
131.25,12.0
133.5,13.0
133.5,13.5
133.5,14.0
133.5,14.5
133.5,15.0
133.5,14.0
134.5,14.0
134.5,13.5
133.25,13.5
133.25,14.0
133.25,14.0
133.25,14.0
134.75,13.5
134.75,13.5
134.25,13.0
134.75,13.0
134.75,12.5
135.0,12.5
135.0,12.5
135.0,13.0
135.0,13.0
130.0,13.0
126.5,13.0
126.5,12.5
126.25,12.5
126.25,12.5
125.75,12.5
125.75,12.5
124.0,12.0
124.0,12.0
124.0,12.0
121.25,12.0
121.25,12.0
121.75,12.0
121.75,12.5
121.75,12.5
121.75,13.5
124.0,13.0
125.0,13.0
125.0,12.5
127.75,13.0
127.75,13.0
126.5,13.0
126.5,13.0
126.5,13.0
126.5,13.0
126.5,13.0
126.5,13.0
126.25,13.5
126.25,13.5
126.5,13.5
126.25,13.5
0.0,14.0
0.0,14.0
0.0,14.5
0.0,15.0
0.0,15.0
0.0,14.5
0.0,14.0
0.0,14.5
0.0,14.5
0.0,14.5
95.0,14.0
95.0,14.0
94.75,14.0
94.75,14.0
95.0,13.5
95.0,13.5
95.0,13.5
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,13.0
95.0,12.5
0.0,12.5
0.0,12.5
0.0,12.0
0.0,12.5
132.75,12.5
132.75,13.0
132.75,13.0
132.75,13.0
132.75,13.5
132.25,13.5
132.25,13.5
133.0,13.5
133.5,13.5
133.5,13.5
133.5,13.0
133.25,13.0
133.25,13.0
133.25,13.0
133.25,13.0
133.5,12.5
133.5,12.5
133.5,12.5
133.5,12.0
133.5,12.0
133.5,12.0
0.0,12.0
0.0,12.0
0.0,12.0
0.0,12.0
0.0,12.0
0.0,12.0
126.5,12.0
126.5,12.5
128.0,13.0
128.0,13.0
125.75,12.5
125.75,12.5
123.5,13.0
123.0,13.5
123.0,14.0
123.5,14.0
123.5,14.0
123.25,13.5
123.25,13.5
124.25,13.5
124.25,13.5
125.75,13.5
125.75,13.5
126.75,13.0
126.75,13.0
128.5,13.0
128.5,13.0
129.0,12.5
129.0,13.0
128.5,13.0
129.75,12.5
129.75,12.5
130.75,13.0
130.75,13.5
131.5,14.0
131.5,14.5
132.75,14.5
132.75,14.0
131.75,13.5
131.75,14.0
133.25,13.5
133.25,13.5
134.0,13.5
135.5,13.5
135.5,14.0
135.75,14.0
135.75,14.0
137.25,14.0
137.25,14.0
137.25,14.0
137.0,14.0
138.25,14.0
138.25,13.5
138.25,13.5
130.75,13.5
130.75,14.0
132.25,14.0
129.5,14.0
129.5,14.0
132.0,14.0
132.0,13.5
132.25,14.0
132.25,14.0
129.25,14.0
129.25,14.0
129.0,14.0
129.0,14.0
130.5,14.5
131.25,14.5
131.25,15.0
130.75,15.0
130.75,14.5
131.5,15.0
131.5,14.5
131.5,14.5
131.5,14.5
132.0,14.0
132.0,14.0
132.0,14.0
134.0,14.0
134.0,15.0
132.5,15.5
132.5,15.0
131.5,15.0
131.5,14.5
132.75,14.5
134.25,14.0
134.25,14.0
136.5,14.0
136.5,14.0
134.25,14.0
134.25,14.0
136.0,14.0
140.75,14.0
140.75,13.5
140.75,13.5
134.25,14.0
131.75,14.0
131.75,14.0
139.25,14.0
139.25,14.5
138.25,14.5
138.25,14.5
138.25,14.5
138.25,15.0
138.25,15.0
138.25,15.0
138.25,15.0
138.25,15.0
138.25,15.0
138.5,15.5
138.5,15.5
134.25,15.5
134.25,15.5
133.5,15.0
133.5,15.0
130.75,15.0
130.75,14.5
133.25,15.0
131.75,15.0
131.75,14.5
131.0,14.5
131.0,14.5
131.25,14.0
131.25,14.0
132.25,14.0
133.0,13.5
133.0,13.5
132.5,13.0
132.5,13.5
126.0,13.5
126.0,13.5
125.0,13.5
125.0,13.0
125.0,13.0
125.0,13.0
125.0,12.5
125.0,12.5
124.75,12.0
124.75,12.0
124.75,12.0
124.75,12.0
127.0,12.0
127.0,12.0
126.25,12.0
126.25,12.0
125.75,12.0
125.75,12.0
124.5,11.5
125.0,11.5
125.0,11.5
126.25,11.5
126.25,11.0
126.25,10.5
126.25,10.5
127.0,10.0
127.0,10.0
127.25,10.0
127.25,10.0
126.5,9.5
126.5,9.5
127.25,9.5
127.25,9.5
127.25,9.5
127.75,9.5
127.75,10.0
127.0,9.5
127.0,9.5
126.75,9.5
126.75,9.5
128.0,10.0
128.0,11.5
128.0,12.0
128.0,12.0
125.75,12.0
125.75,12.5
124.0,13.0
124.0,13.0
124.0,13.0
124.0,13.0
124.75,12.5
124.75,13.0
125.5,14.0
124.25,14.5
124.25,15.5
125.25,16.0
125.25,15.0
123.5,14.0
123.5,13.0
123.5,12.5
119.5,12.5
119.5,12.0
118.5,12.0
118.5,11.5
118.5,11.0
123.75,10.5
123.75,10.0
125.0,9.5
125.0,9.0
125.5,8.5
125.5,9.0
126.25,9.0
126.25,9.5
126.25,9.5
126.25,9.5
126.25,9.5
126.25,9.5
130.0,9.0
130.0,9.0
130.0,9.0
128.0,9.0
128.0,9.0
126.25,9.5
126.25,10.0
125.25,10.5
125.25,11.0
125.25,11.5
125.25,12.0
126.0,12.5
126.0,13.0
126.75,13.0
127.5,13.0
127.5,13.0
128.5,13.0
128.5,13.0
129.0,12.0
129.0,11.5
130.75,11.0
130.75,11.0
132.75,10.5
133.25,10.5
133.25,10.5
133.0,10.0
133.0,10.0
134.0,10.0
134.0,10.0
135.0,10.0
136.75,10.0
136.75,10.0
137.5,10.5
137.5,10.0
137.25,10.5
137.25,11.0
135.0,11.5
135.0,11.5
130.5,11.5
130.5,11.5
129.5,11.5
129.5,11.5
129.5,11.0
128.75,10.5
128.75,10.5
129.75,10.5
129.75,11.0
130.25,11.5
130.25,11.0
130.25,11.0
130.25,11.5
130.25,11.0
129.5,10.5
129.5,10.0
129.75,10.0
129.75,10.5
129.25,10.5
129.25,11.0
128.0,11.0
128.0,11.0
128.0,10.5
128.0,10.5
128.0,10.5
128.0,10.0
128.0,10.0
128.0,10.5
128.5,10.0
129.0,10.0
129.0,9.5
130.75,9.0
130.75,9.5
131.5,9.0
131.5,8.5
132.25,9.0
132.25,9.5
133.0,10.0
133.0,10.0
133.0,10.0
134.0,10.0
134.0,10.0
135.0,10.0
135.0,10.0
136.25,10.0
136.75,9.5
136.75,9.5
137.75,9.5
137.75,9.0
139.25,8.5
139.25,8.5
140.25,8.0
141.25,8.0
141.25,8.0
140.75,8.0
140.75,8.5
138.5,9.5
138.5,9.5
135.25,9.5
136.25,9.0
136.25,9.5
137.5,9.0
137.5,9.0
138.5,9.0
140.75,8.5
140.75,8.5
141.5,8.5
141.5,8.5
142.75,9.0
144.75,9.0
144.75,9.0
145.5,8.5
145.5,8.5
146.25,8.5
147.0,8.5
147.0,8.5
147.0,8.0
147.0,8.0
147.25,8.0
148.0,8.0
148.0,8.0
148.25,7.5
148.75,7.5
148.75,7.5
149.0,7.5
149.0,7.5
149.25,7.0
150.0,7.0
150.0,7.5
150.25,7.0
150.0,7.5
150.0,8.0
150.5,8.5
150.5,9.0
149.75,10.0
150.5,10.0
150.5,9.5
151.0,9.5
151.0,10.0
153.0,10.0
153.0,10.0
153.75,10.0
154.75,10.5
154.75,10.5
155.5,11.5
156.25,11.0
156.25,11.0
158.5,10.5
158.5,10.5
159.5,10.5
159.5,10.0
160.0,10.0
160.0,10.0
161.5,9.5
161.5,9.5
162.5,9.0
163.25,9.0
163.25,8.5
163.25,8.5
163.5,8.5
163.5,8.5
162.75,8.0
161.25,8.5
161.25,9.0
159.5,9.5
158.0,10.5
158.0,11.5
157.0,11.5
156.0,11.5
156.0,11.0
157.75,11.0
157.5,11.0
157.5,11.5
158.5,11.5
158.75,11.5
158.75,11.5
159.5,11.0
160.5,11.0
160.5,10.5
162.25,10.0
160.0,10.0
160.0,9.5
158.0,9.5
158.0,9.5
158.0,9.5
158.75,9.5
160.25,9.5
160.25,9.5
160.0,10.0
159.0,10.5
159.0,10.5
160.5,10.5
158.0,10.5
158.0,10.0
158.5,10.0
158.5,10.0
159.0,10.0
159.0,10.0
159.0,10.0
158.0,10.0
157.25,9.5
157.25,9.5
157.0,9.5
157.25,9.5
157.25,9.0
156.5,9.0
156.75,9.0
156.75,9.0
154.75,9.0
153.75,10.0
153.75,10.5
152.75,11.5
152.75,11.0
150.75,10.5
150.75,10.5
150.75,10.5
152.75,10.5
153.75,11.0
153.75,10.5
154.0,10.5
154.0,10.5
154.75,10.5
156.0,10.0
156.0,10.0
155.25,10.0
156.25,10.0
156.25,10.0
157.25,10.0
157.25,10.0
157.25,9.5
155.25,9.5
154.0,9.5
154.0,9.5
152.0,9.5
152.0,9.5
150.75,9.5
151.0,9.5
151.0,9.5
154.0,10.0
154.5,10.0
154.5,10.5
156.0,10.5
156.5,10.5
156.5,10.5
157.5,11.0
159.0,11.0
159.0,10.5
160.25,10.5
160.5,10.5
160.5,10.5
161.25,10.5
